Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
INATOP 2;2210024;AUTORISE;HMWC SAS;ANITOP;2190639;BUTISAN AVANT;AMM n° R-9/2017;Pologne;Selon le produit de référence français;
KEAP;2150336;AUTORISE;HMWC SAS;PEAK;2080117;PEAK 75 WG;AMM n° 01031;Bulgarie;Selon le produit de référence français;
KEAP;2150336;AUTORISE;HMWC SAS;PEAK;2080117;PEAK;AMM n° 3200-0;Autriche;Selon le produit de référence français;
KIEZEN;2230583;AUTORISE;HMWC SAS;KEZURO;2190097;KEZURO SC;AMM n° R-155/2017;Pologne;Selon le produit de référence français;
KILEFAIT;2110125;AUTORISE;HMWC SAS;SETANTA FLO;2110004;SETANTA FLO;AMM n° 14678;Royaume-Uni;Selon le produit de référence français;
KO-TECH;2240907;AUTORISE;SAGA SAS;TREBON 30 EC;9400085;KEDU 30 EC;AMM n° R-111/2020;Pologne;Selon le produit de référence français;
RUN-D;2240930;AUTORISE;HMWC SAS;EMCEE;2190461;EMCEE;AMM n° R-46/2019;Pologne;Selon le produit de référence français;
COVIDOU;2240941;AUTORISE;HMWC SAS;PANGOLIN DG;2170458;R6 ERRESEI BORDEAUX WG;AMM n° 15047;Italie;Selon le produit de référence français;
CAZSUORI;2150981;RETIRE;M. CAZORLA S.L;;;;;;;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROSARO 250 EC;AMM n° 0303F/06;Lituanie;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROSARO;AMM n° 13386;Italie;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROSARO 250 EC;AMM n° R-123/2009;Pologne;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;TRAPER 250 EC;AMM n° R-151/2014;Pologne;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROSARO 250 EC;AMM n° R-152/2014;Pologne;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROSARO;AMM n° AS2-2F/2015;Lituanie;Selon le produit de référence français;
KISARO;2100245;AUTORISE;HMWC SAS;PROSARO;2100108;PROFUSO;AMM n° R-175/2017;Pologne;Selon le produit de référence français;
YOKO-SAN;2060026;AUTORISE;SARL HEXA-GONES;EPSILON;9800262;CHIKARA;AMM n° 46138/2004;Hongrie;Selon le produit de référence français;
YOKO-SAN;2060026;AUTORISE;SARL HEXA-GONES;EPSILON;9800262;CHIKARA 25 WG;AMM n° 10929;Italie;Selon le produit de référence français;
YOKO-SAN;2060026;AUTORISE;SARL HEXA-GONES;EPSILON;9800262;KATANA;AMM n° 4837-60/01-001;Allemagne;Selon le produit de référence français;
YOKO-SAN;2060026;AUTORISE;SARL HEXA-GONES;EPSILON;9800262;KATANA;AMM n° L01706-053;Luxembourg;Selon le produit de référence français;
LA SENTE;2060071;AUTORISE;UNISEM S.A;EPSILON;9800262;CHIKARA;AMM n° 10929;Italie;Selon le produit de référence français;
LA SENTE;2060071;AUTORISE;UNISEM S.A;EPSILON;9800262;CHIKARA;AMM n° 9249/B;Belgique;Selon le produit de référence français;
LA SENTE;2060071;AUTORISE;UNISEM S.A;EPSILON;9800262;KATANA;AMM n° 004837-60;Allemagne;Selon le produit de référence français;
LA SENTE;2060071;AUTORISE;UNISEM S.A;EPSILON;9800262;KATANA 25 WG;AMM n° 3295;Portugal;Selon le produit de référence français;
LA SENTE;2060071;AUTORISE;UNISEM S.A;EPSILON;9800262;TERAFIT;AMM n° 21990;Espagne;Selon le produit de référence français;
AGRIVENTO BG;2220143;RETIRE;AGRICANIGOU SARL;MOVENTO;2110086;MOVENTO 100 SC;AMM n° 01332-PPP-1/21.07.2015;Bulgarie;Selon le produit de référence français;
PRIATOP;2220135;AUTORISE;TOP SAS;PRIAXOR EC;2161101;PRIAXOR EC;AMM n° 273PC/28.02.2017;Roumanie;Selon le produit de référence français;
FRONTISSIMUS;2240758;AUTORISE;SIMAGRO Trade EOOD;ISARD;9900251;SPECTRUM;AMM n° 0360-PPP/26.04.2006;Bulgarie;Selon le produit de référence français;
KAPITEN EC;2171086;RETIRE;SAGA SAS;ADMIRAL PRO;2080060;JUVINAL GOLD;AMM n° 12133;Italie;Selon le produit de référence français;
ELESKIRT;2210471;AUTORISE;UNISEM SA;AFFIRM;2100231;AFFIRM;AMM n° 13389;Italie;Selon le produit de référence français;
PROTIOLINE;2100031;AUTORISE;TOP SAS;JOAO;2060116;PROLINE EC 250;AMM n° 18-473;Danemark;Selon le produit de référence français;
PROTIOLINE;2100031;AUTORISE;TOP SAS;JOAO;2060116;PROLINE 250 EC;AMM n° 18-473;Danemark;Selon le produit de référence français;
PROTHIO FONGILINE;2170927;RETIRE;PSI (UK) LTD;JOAO;2060116;PROLINE;AMM n° 025287-00;Allemagne;Selon le produit de référence français;
JANTIL;2070077;AUTORISE;EUROFYTO SA;JOAO;2060116;PROLINE EC 250;AMM n° 18-473;Danemark;Selon le produit de référence français;
JANTIL;2070077;AUTORISE;EUROFYTO SA;JOAO;2060116;INPUT PRO;AMM n° 9446/B;Belgique;Selon le produit de référence français;
JANTIL;2070077;AUTORISE;EUROFYTO SA;JOAO;2060116;CURBATUR;AMM n° AS2-80F (2018);Lituanie;Selon le produit de référence français;
JANTIL;2070077;AUTORISE;EUROFYTO SA;JOAO;2060116;PROLINE EC 250;AMM n° 18-473;Danemark;Selon le produit de référence français;
ERZURUM;2230434;AUTORISE;ASTEC EUROPE;EXPRESS SX;2090052;EXPRESS 50 SG;AMM n° 2603/14.12.2005;Roumanie;Selon le produit de référence français;
CHOFFEUR;2200241;AUTORISE;GRITCHE;PILOT;9500040;TARGA SUPER 05 EC;AMM n° R-124/2016;Pologne;Selon le produit de référence français;
CHOFFEUR;2200241;AUTORISE;GRITCHE;PILOT;9500040;TARGA SUPER;AMM n° 034060-00;Allemagne;Selon le produit de référence français;
GOSTER;2250231;AUTORISE;PHYTHERON 2000;CASPER;2090037;CASPER;AMM n° 2788/26.06.2008;Roumanie;Selon le produit de référence français;
ANETTI;2200588;AUTORISE;EUROFYTO SA;PULSAR 40;2090064;PULSAR 40;AMM n° 1859/29.09.1998;Roumanie;Selon le produit de référence français;
PIFLUXOR;2200722;AUTORISE;EUROFYTO SA;PRIAXOR EC;2161101;PRIAXOR;AMM n° R-46/2016;Pologne;Selon le produit de référence français;
PIXOR;2210229;AUTORISE;EUROFYTO SA;PRIAXOR EC;2161101;PRIAXOR;AMM n° AS2-7F(2019);Lituanie;Selon le produit de référence français;
POQUITO;2200990;AUTORISE;EUROFYTO SA;PONTOS;2180864;PONTOS;AMM n° R-170/2017;Pologne;Selon le produit de référence français;
SCOPPI;2220245;AUTORISE;EUROFYTO SA;SCORE;8800841;GEYSER;AMM n° 8256P/B;Belgique;Selon le produit de référence français;
SOLOMUN;2210228;AUTORISE;EUROFYTO SA;SUNFIRE;2190608;SUNFIRE;AMM n° 10938 P/B;Belgique;Selon le produit de référence français;
PAN ARGENT;2240137;AUTORISE;PAN AGRICULTURE LIMITED;MAXTIMA;2220622;REVYSTAR;AMM n° 638PC/24.11.2020;Roumanie;Selon le produit de référence français;
LAMBDA SOL;2240222;AUTORISE;HMWC SAS;ERCOLE;2150483;ERCOLE;AMM n° 15901;Italie;Selon le produit de référence français;
PEAK 75 WG;2161067;AUTORISE;PSI (UK) LTD;PEAK;2080117;PEAK 75 WG;AMM n° UP/I-320-20/08-01/97;Croatie;Selon le produit de référence français;
SAINTEX;2130017;AUTORISE;HMWC SAS;AVIATOR XPRO;2110178;AVIATOR XPRO;AMM n° 006764-00;Allemagne;Selon le produit de référence français;
SAINTEX;2130017;AUTORISE;HMWC SAS;AVIATOR XPRO;2110178;AVIATOR XPRO 225 EC;AMM n° R-11/2013;Pologne;Selon le produit de référence français;
ESTRAUQ;2250226;AUTORISE;HMWC SAS;QUESTAR;2200066;QUESTAR;AMM n° R-67/2023;Pologne;Selon le produit de référence français;
PROPICOLID;2100047;AUTORISE;TOP SAS;INFINITO;2090136;INFINITO 687,5 SC;AMM n° R-37/2011;Pologne;Selon le produit de référence français;
BEYMETA 500;2220563;AUTORISE;SAGA SAS;SULTAN;2000003;SULTAN 500 SC;AMM n° AS2-5H/2014;Lituanie;Selon le produit de référence français;
DIXODOR 450 SC;2220565;AUTORISE;SAGA SAS;PROXANIL;2080114;AXIDOR;AMM n° R-5/2015wu - R-468/2020d;Pologne;Selon le produit de référence français;
CHIPCONAZOLE;2160658;RETIRE;SARL HMWC;RANCONA 15 ME;2100051;RANCONA 15 ME;AMM n° 2791/14.08.2008;Roumanie;Selon le produit de référence français;
RANCONA 15 ME IPCONAZOLE;2160663;RETIRE;UNISEM S.A;RANCONA 15 ME;2100051;RANCONA 15 ME;AMM n° 2791/14.08.2008;Roumanie;Selon le produit de référence français;
RANCONA 15 ME IPCONAZOLE;2160663;RETIRE;UNISEM S.A;RANCONA 15 ME;2100051;RANCONA 15 ME;AMM n° 02.5.1135/1/2010 MgSzHK;Hongrie;Selon le produit de référence français;
METARBO IP;2240521;AUTORISE;DHA;BREVIS;2150002;BREVIS;AMM n° 16084;Italie;Selon le produit de référence français;
JACKDAW 360;2220865;AUTORISE;SAGA SAS;CLOMATE;2140042;CHOUCAS;AMM n° 17744;Italie;Selon le produit de référence français;
CONSERVO;2200335;AUTORISE;EUROFYTO SA;DORMIR;2160967;1,4 SIGHT;AMM n° 14855 N;Pays-Bas;Selon le produit de référence français;
CONSERVO;2200335;AUTORISE;EUROFYTO SA;DORMIR;2160967;1,4 SIGHT;AMM n° 008692-00/00;Allemagne;Selon le produit de référence français;
CONSERVO;2200335;AUTORISE;EUROFYTO SA;DORMIR;2160967;1,4 SIGHT;AMM n° R-50/2018;Pologne;Selon le produit de référence français;
FURIOSO;2210761;AUTORISE;EUROFYTO SA;FANDANGO S;2060118;FANDANGO PRO;AMM n° 9723 P/B;Belgique;Selon le produit de référence français;
KABOUM;2220251;AUTORISE;EUROFYTO SA;KATANA 25 WG;9700070;CHIKARA;AMM n° 2266/01.04.2004;Roumanie;Selon le produit de référence français;
MINO;2110203;AUTORISE;GRITCHE;AFFIRM;2100231;AFFIRM;AMM n° 13389;Italie;Selon le produit de référence français;
MINO;2110203;AUTORISE;GRITCHE;AFFIRM;2100231;AFFIRM 095 SG;AMM n° R-6/2012 wu et R-772/2022d;Pologne;Selon le produit de référence français;
FALEPA EC;2240195;AUTORISE;GRITCHE;CENTURION R;9900115;CENTURION PRO;AMM n° 15868;Italie;Selon le produit de référence français;
RATATA;2180358;AUTORISE;HMWC SAS;TANARIS;2170158;TANARIS;AMM n° R-210/2016;Pologne;Selon le produit de référence français;
RATATA;2180358;AUTORISE;HMWC SAS;TANARIS;2170158;TANARIS;AMM n° R-60/2018;Pologne;Selon le produit de référence français;
FORLANE 500;2150109;RETIRE;SAGA SAS;PROLECTUS;2140184;PROLECTUS;AMM n° 15125;Italie;Selon le produit de référence français;
FORLANE 500;2150109;RETIRE;SAGA SAS;PROLECTUS;2140184;PROLECTUS 50 WG;AMM n° 15549;Italie;Selon le produit de référence français;
ZOXIMAN IP;2240198;AUTORISE;DHA;AMPEXIO;2171119;AMPEXIO;AMM n° 16288;Italie;Selon le produit de référence français;
KIBUNGO;2171001;RETIRE;EUROFYTO NV;PROLECTUS;2140184;PROLECTUS;AMM n° 15125;Italie;Selon le produit de référence français;
KIBUNGO;2171001;RETIRE;EUROFYTO NV;PROLECTUS;2140184;PROLECTUS 50 WG;AMM n° 15549;Italie;Selon le produit de référence français;
QUESTAR PIMP;2230893;RETIRE;UNISEM SA;;;;;;;
TAQUOI;2220275;AUTORISE;GRITCHE;QUESTAR;2200066;QUESTAR;AMM n° 06465;Irlande;Selon le produit de référence français;
BAKLANIKHA;2221061;AUTORISE;ASTEC EUROPE;RATRON GW;2170698;RATRON GIFTWEISEN;AMM n° 034041-00;Allemagne;Selon le produit de référence français;
TOKAD;2230192;AUTORISE;GRITCHE;CROSSOVER;2120143;HOPPER 480;AMM n° 14969;Italie;Selon le produit de référence français;
LIPROLE IP;2240366;AUTORISE;DHA;CORAGEN;2100121;VESTICOR;AMM n° 16846;Italie;Selon le produit de référence français;
HM DFF;2140132;AUTORISE;HMWC SAS;COMPIL;2130068;LEGATO 500 SC;AMM n° R-52/2005;Pologne;Selon le produit de référence français;
HM DFF;2140132;AUTORISE;HMWC SAS;COMPIL;2130068;LEGATO 500 SC;AMM n° R-165/2015;Pologne;Selon le produit de référence français;
HM DFF;2140132;AUTORISE;HMWC SAS;COMPIL;2130068;STAKATO 500 SC;AMM n° R-161/2016;Pologne;Selon le produit de référence français;
CARFAN;2180636;RETIRE;TOP SAS;SPOTLIGHT PLUS;2000327;SPOTLIGHT PLUS;AMM n° 13466;Italie;Selon le produit de référence français;
CARFENTROF;2150742;AUTORISE;M. CAZORLA S.L;SPOTLIGHT PLUS;2000327;SPOTLIGHT PLUS;AMM n° 25.453;Espagne;Selon le produit de référence français;
MONSOON ACTIVE PIMP;2150113;RETIRE;PSI (UK) LTD;MONSOON ACTIVE;2130164;MONSOON ACTIVE;AMM n° 04.2/2507/1/2012;Hongrie;Selon le produit de référence français;
TABACO;2130014;RETIRE;GRITCHE;ROYALTAC;2120058;ROYALTAC N;AMM n° 9267;Italie;Selon le produit de référence français;
HM MESOTER;2210701;AUTORISE;HMWC SAS;CALARIS;2170381;CLICK PRO;AMM n° 10743P/B;Belgique;Selon le produit de référence français;
HM MESOTER;2210701;AUTORISE;HMWC SAS;CALARIS;2170381;CLICK PREMIUM;AMM n° 10820P/B;Belgique;Selon le produit de référence français;
HM MESOTER;2210701;AUTORISE;HMWC SAS;CALARIS;2170381;CALARIS 400 SC;AMM n° R-188/2014 et R-525/2017;Pologne;Selon le produit de référence français;
HM MESOTER;2210701;AUTORISE;HMWC SAS;CALARIS;2170381;LUMAX DUO;AMM n° R-128/2024;Pologne;Selon le produit de référence français;
DIPANON WG;2240232;AUTORISE;GRITCHE;MINSK;2171073;GOLDWIND;AMM n° 16785;Italie;Selon le produit de référence français;
TRINEX PLUS;2240071;AUTORISE;TOP SAS;MOXA;2130247;MOXA;AMM n° 10234P/B;Belgique;Selon le produit de référence français;
GRAMI;2230647;AUTORISE;TOP SAS;AGIL;8800199;AGIL 100 EC;AMM n° AS2-35H/2015;Lituanie;Selon le produit de référence français;
LUNA PRIVILEGE PIMP;2180627;AUTORISE;PSI (UK) LTD;LUNA PRIVILEGE;2130200;LUNA PRIVILEGE;AMM n° 14806;Italie;Selon le produit de référence français;
FERTISMART 3,3 VP;2250251;AUTORISE;FERTICHEM SARL;APPLESMART 3.3 VP;2190550;FRUITSMART 3,3 VP;AMM n° R-100/2015 et R-468/2023d;Pologne;Selon le produit de référence français;
MAXILIA 200 WP;2180085;AUTORISE;SAGA SAS;SHIRUDO;9100525;MASAI WP;AMM n° 01260-PPP-1/11.08.2014;Bulgarie;Selon le produit de référence français;
SOPRENOR;2150119;RETIRE;SAGA SAS;OPERA;2000333;OPERA;AMM n° 3367/0;Autriche;Selon le produit de référence français;
ZORG;2200014;AUTORISE;GRITCHE;SPIROX;2110197;SPIROX;AMM n° 15911;Italie;Selon le produit de référence français;
MATURA;2170923;AUTORISE;EUROFYTO SA;RANMAN TOP;2110012;RANMAN TOP 160 SC;AMM n° R-12/2012;Pologne;Selon le produit de référence français;
MATURA;2170923;AUTORISE;EUROFYTO SA;RANMAN TOP;2110012;RANMAN TOP;AMM n° 10042 P/B;Belgique;Selon le produit de référence français;
MATURA;2170923;AUTORISE;EUROFYTO SA;RANMAN TOP;2110012;RANMAN TOP;AMM n° 13467 N;Pays-Bas;Selon le produit de référence français;
CETALIA EC;2240279;AUTORISE;SAGA SAS;TROOPER;2090118;MALIBU;AMM n° 024834-00;Allemagne;Selon le produit de référence français;
FLUPEN EC;2230923;AUTORISE;GRITCHE;TROOPER;2090118;MALIBU;AMM n° 024834-00;Allemagne;Selon le produit de référence français;
KOUROU;2190935;AUTORISE;GRITCHE;BOFIX;9000184;ARIANE S;AMM n° AS2-66H(2019);Lituanie;Selon le produit de référence français;
SIYOUPLE;2240544;AUTORISE;HMWC SAS;DAKOTA-P;2090113;WING P;AMM n° 021PC/11.07.2013;Roumanie;Selon le produit de référence français;
SUNDANCE;2240578;AUTORISE;EUROFYTO SA;SPORAX;2230173;SPORAX;AMM n° 29385P/B;Belgique;Selon le produit de référence français;
LAMBDA CS 100;2240036;AUTORISE;HMWC SAS;KARAKAS;2130059;ATLAS;AMM n° 15433;Italie;Selon le produit de référence français;
MELEZE;2150323;RETIRE;SAGA SAS;FURY 10 EW;9300309;FURY 100 EW;AMM n° 22660;Espagne;Selon le produit de référence français;
TOPACLO;2240037;AUTORISE;TOP SAS;CHANON;2190722;CHANDOR;AMM n° 4229-0;Autriche;Selon le produit de référence français;
FUZETAPE;2160056;RETIRE;M. CAZORLA S.L;FURY 10 EW;9300309;FURY 100 EW;AMM n° 22660;Espagne;Selon le produit de référence français;
HALOPI;2200718;AUTORISE;TOP SAS;MOZZAR;2190062;BELKAR;AMM n° R-132/2018;Pologne;Selon le produit de référence français;
HALOPI;2200718;AUTORISE;TOP SAS;MOZZAR;2190062;BELKAR;AMM n° 008778-00;Allemagne;Selon le produit de référence français;
HALOPI;2200718;AUTORISE;TOP SAS;MOZZAR;2190062;BELKAR;AMM n° AS2-46H(2020);Lituanie;Selon le produit de référence français;
HALOPI;2200718;AUTORISE;TOP SAS;MOZZAR;2190062;BELKAR;AMM n° 6300/13248-1/2019;Hongrie;Selon le produit de référence français;
DIPANON;2240231;AUTORISE;GRITCHE;MINSK;2171073;MINSK;AMM n° 17535;Italie;Selon le produit de référence français;
STARAZOL SOLO;2210814;AUTORISE;TOP SAS;REVYSTAR;2190509;REVYSTAR;AMM n° 00A275-00;Allemagne;Selon le produit de référence français;
CLOMELCO 360 CS;2230892;AUTORISE;PHYBELCO SPRL;PRIZE;2210008;CENTIUM 36 CS;AMM n° 14643;Italie;Selon le produit de référence français;
CLOMELCO 360 CS;2230892;AUTORISE;PHYBELCO SPRL;PRIZE;2210008;CENTIUM 36 CS;AMM n° 004798-00;Allemagne;Selon le produit de référence français;
KLOM MAX;2230194;RETIRE;HMWC SAS;;;;;;;
SIFOCAMID;2250495;AUTORISE;TURNACUM SRL;ALAKAZAM 500 WG;2220043;ALAKAZAM 500 WG;AMM n° R-129/2021;Pologne;Selon le produit de référence français;
CALETO;2230671;AUTORISE;EUROFYTO SA;CALARIS;2170381;CALARIS;AMM n° 9501P/B;Belgique;Selon le produit de référence français;
RIMANO;2200514;AUTORISE;EUROFYTO SA;LEIMAY;2140179;EVITTO;AMM n° 10169P/B;Belgique;Selon le produit de référence français;
RIMANO;2200514;AUTORISE;EUROFYTO SA;LEIMAY;2140179;GACHINKO;AMM n° 10692P/B;Belgique;Selon le produit de référence français;
ROADSTER;2090074;AUTORISE;GRITCHE;SUCCESS 4;2060098;TRACER;AMM n° 12567;Pays-Bas;Selon le produit de référence français;
MANDESTRO 250;2230387;AUTORISE;HMWC SAS;INTUITY;2200206;SISAM 250 SC;AMM n° R-254/2017 - R-405/2018d;Pologne;Selon le produit de référence français;
MANDESTRO 250;2230387;AUTORISE;HMWC SAS;INTUITY;2200206;INTUITY 250 SC;AMM n° R-254/2017 - R-405/2018d;Pologne;Selon le produit de référence français;
SLEEPING;2200516;AUTORISE;HMWC SAS;DORMIR;2160967;1.4 SIGHT;AMM n° 10576 P/B;Belgique;Selon le produit de référence français;
SLEEPING;2200516;AUTORISE;HMWC SAS;DORMIR;2160967;1.4 SIGHT;AMM n° R 50/2018;Pologne;Selon le produit de référence français;
SLOWGIRL;2170839;AUTORISE;HMWC SAS;RANMAN TOP;2110012;RANMAN TOP 160 SC;AMM n° R-12/2012wu;Pologne;Selon le produit de référence français;
SLOWGIRL;2170839;AUTORISE;HMWC SAS;RANMAN TOP;2110012;SUGOI;AMM n° R-30/2019wu;Pologne;Selon le produit de référence français;
SWEET HOME;2140110;AUTORISE;HMWC SAS;NOVALL GOLD;2120075;BUTISAN GOLD;AMM n° 006790-00;Allemagne;Selon le produit de référence français;
SWEET HOME;2140110;AUTORISE;HMWC SAS;NOVALL GOLD;2120075;BUTISAN STAR MAX 500 SE;AMM n° R-97/2012;Pologne;Selon le produit de référence français;
SWEET HOME;2140110;AUTORISE;HMWC SAS;NOVALL GOLD;2120075;BUTISAN MAX;AMM n° 13/11/1327;Slovaquie;Selon le produit de référence français;
SWEET HOME;2140110;AUTORISE;HMWC SAS;NOVALL GOLD;2120075;BUTISAN MAX;AMM n° 4874-0;République tchèque;Selon le produit de référence français;
TROPIC;2150042;AUTORISE;HMWC SAS;PICTOR PRO;2050075;CANTUS;AMM n° 12862;Italie;Selon le produit de référence français;
TROPIC;2150042;AUTORISE;HMWC SAS;PICTOR PRO;2050075;FILAN WG;AMM n° 15344;Italie;Selon le produit de référence français;
HM STAR ;2200404;AUTORISE;HMWC SAS;REVYSTAR XL;2190686;REVYSTAR XL;AMM n° AS2-98F (2019);Lituanie;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;INPUT PRO;AMM n° 9446/B;Belgique;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;PROLINE;AMM n° 5287-00;Autriche;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;PROLINE EC 250;AMM n° 18473;Danemark;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;PROLINE;AMM n° 12725 N;Pays-Bas;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;PROLINE 250 EC;AMM n° 3-2006;Pologne;Selon le produit de référence français;
PASO DOBLE+;2080017;AUTORISE;PHYTO SERVICE S.A.S.;JOAO;2060116;PROLINE EC 250;AMM n° 4688;Suède;Selon le produit de référence français;
DRAX PROTHIOCONAZOLE;2100168;RETIRE;DRAX PESTICIDES LTD;JOAO;2060116;PROLINE;AMM n° 5287-00;Allemagne;Selon le produit de référence français;
BAMECAZI;2170510;AUTORISE;M. CAZORLA S.L;BASAGRAN SG;9500628;BASAGRAN SG;AMM n° 9843;Italie;Selon le produit de référence français;
CANTORIA+;2030127;RETIRE;PHYTO SERVICE S.A.S.;OPERA;2000333;OPERA;AMM n° 9290 /B;Belgique;Selon le produit de référence français;
KANSAS +;2020414;AUTORISE;PHYTO SERVICE S.A.S.;FROWNCIDE;9100636;;;;;
QUATERNER OD;2150111;RETIRE;SAGA SAS;BETANAL MAXXPRO;2130190;BETANAL MAXXPRO 209 OD;AMM n° R-265/2012;Pologne;Selon le produit de référence français;
RIFRAF;2240199;AUTORISE;HMWC SAS;AMPEXIO;2171119;AMPEXIO;AMM n° 16288;Italie;Selon le produit de référence français;
METEORITE;2210933;AUTORISE;GRITCHE;COMET 200;2100151;COMET NEW;AMM n° 10524 P/B;Belgique;Selon le produit de référence français;
METEORITE;2210933;AUTORISE;GRITCHE;COMET 200;2100151;COMET 200 EC;AMM n° R-155/2015 - R-49/2021d;Pologne;Selon le produit de référence français;
KABILLO;2170228;AUTORISE;GRITCHE;KEYNOTE;2160931;ASCRA XPRO;AMM n° AS2-4F(2017);Lituanie;Selon le produit de référence français;
KABILLO;2170228;AUTORISE;GRITCHE;KEYNOTE;2160931;ASCRA XPRO 260 EC;AMM n° R-172/2018;Pologne;Selon le produit de référence français;
KABILLO;2170228;AUTORISE;GRITCHE;KEYNOTE;2160931;ASCRA XPRO;AMM n° 17270;Italie;Selon le produit de référence français;
VIENZY OD;2220709;AUTORISE;GRITCHE;ZYPAR;2160937;ZYPAR;AMM n° 16802;Italie;Selon le produit de référence français;
RATIZER GW;2220780;AUTORISE;PHYBELCO SPRL;RATRON GW;2170698;RATRON GIFTWEISEN;AMM n° 034041-00;Allemagne;Selon le produit de référence français;
HM WILLY;2220939;AUTORISE;HMWC SAS;DAKOTA-P;2090113;WING-P 462.5 EC;AMM n° R-40/2012;Pologne;Selon le produit de référence français;
HM WILLY;2220939;AUTORISE;HMWC SAS;DAKOTA-P;2090113;WING-P;AMM n° 13763;Italie;Selon le produit de référence français;
CADAMETOL;2180506;RETIRE;M. CAZORLA S.L;BASAMID GRANULE;2220023;;;;;
CANSEALINN;2170720;RETIRE;M. CAZORLA S.L;CENTURION R;9900115;;;;;
HM GLYPHO;2140103;RETIRE;HMWC SAS;GLISTER;2120193;;;;;
MANCOTEC;2020419;RETIRE;EUROFYTO NV;DITHANE NEOTEC;9900242;;;;;
POKER;2110137;RETIRE;GRITCHE;KLARTAN;8500194;;;;;
AILE P;2211057;AUTORISE;TOP SAS;DAKOTA-P;2090113;WING P;AMM n° 021PC/11.07.2013;Roumanie;Selon le produit de référence français;
CYMPRO IP;2220122;AUTORISE;DHA;PROXANIL;2080114;PROXANIL;AMM n° 04639;Irlande;Selon le produit de référence français;
DESHERIZ ONE;2220564;AUTORISE;SAGA SAS;CLINCHER NEO;2130274;CLINCHER ONE;AMM n° 15710;Italie;Selon le produit de référence français;
REGAMAX WG;2220141;AUTORISE;GRITCHE;MEDAX MAX;2170933;MEDAX MAX;AMM n° 10667 P/B;Belgique;Selon le produit de référence français;
LURYX 500 SC;2220735;AUTORISE;SAGA SAS;CHLORTOCIDE EL;7300221;DICUREX FLO 500 SC;AMM n° R-167/2018 (R-708/2020d);Pologne;Selon le produit de référence français;
STEENROLL 600;2230649;AUTORISE;SAGA SAS;FOSBURI;2080145;HEROLD SC;AMM n° 9533P/B;Belgique;Selon le produit de référence français;
KLASSICA EC;2201010;AUTORISE;SAGA SAS;MOZZAR;2190062;BELKAR;AMM n° 5452-0;République tchèque;Selon le produit de référence français;
KLASSICA EC;2201010;AUTORISE;SAGA SAS;MOZZAR;2190062;BELKAR;AMM n° 6300/13248-1/2019;Hongrie;Selon le produit de référence français;
KLASSICA EC;2201010;AUTORISE;SAGA SAS;MOZZAR;2190062;BELKAR;AMM n° AS2-46H(2020);Lituanie;Selon le produit de référence français;
FLONICASTAR;2230730;AUTORISE;PHYBELCO SPRL;ALAKAZAM 500 WG;2220043;ALAKAZAM 500 WG;AMM n° R-129/2021;Pologne;Selon le produit de référence français;
MELOCYDE;2220940;AUTORISE;GRITCHE;CHLORTOCIDE EL;7300221;DESPERADO 500 SC;AMM n° R-152/2016;Pologne;Selon le produit de référence français;
HALME EC;2230385;AUTORISE;GRITCHE;VIBALLA;2230008;VIBALLA;AMM n° 6300/648-1/2022.NEBIH;Hongrie;Selon le produit de référence français;
MUG;2160983;AUTORISE;GRITCHE;BASAGRAN SG;9500628;BASAGRAN SG;AMM n° 9843;Italie;Selon le produit de référence français;
MUG;2160983;AUTORISE;GRITCHE;BASAGRAN SG;9500628;RIGRON SG;AMM n° 10357;Italie;Selon le produit de référence français;
CAZOMERCANTO;2140274;RETIRE;M. CAZORLA S.L;MERCANTOR GOLD;9800182;DUAL GOLD;AMM n° 22.126;Espagne;Selon le produit de référence français;
ZORBA;2230952;AUTORISE;EUROFYTO SA;ZORVEC ZELAVIN;2180380;ZORVEC ENICADE;AMM n° 10742P/B;Belgique;Selon le produit de référence français;
MOVENTO XVB;2210118;RETIRE;XAVAGRI SRL/BV;MOVENTO;2110086;MOVENTO 100 SC;AMM n° 01332-PPP-1/21.07.2015;Bulgarie;Selon le produit de référence français;
