Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
FOST;2150005;AUTORISE;GRITCHE;OTHELLO;2140152;OTHELLO;AMM n° 14346N;Pays-Bas;Selon le produit de référence français;
FOST;2150005;AUTORISE;GRITCHE;OTHELLO;2140152;OTHELLO OD;AMM n° 18-520;Danemark;Selon le produit de référence français;
FRAZER;2130276;AUTORISE;GRITCHE;SORCIER;2110101;EVOLUTION;AMM n° 15071;Italie;Selon le produit de référence français;
FRAZER;2130276;AUTORISE;GRITCHE;SORCIER;2110101;PIRAMAX EC;AMM n° 15062;Italie;Selon le produit de référence français;
LEKTEUR;2120189;AUTORISE;GRITCHE;PROFILER;2100181;R6 ERRESEI ALBIS;AMM n° 13213;Italie;Selon le produit de référence français;
LIMBE;2130133;AUTORISE;GRITCHE;NIMBLE;2110072;NIMBLE;AMM n° 15063;Italie;Selon le produit de référence français;
MAÏ?SDIC;2110131;AUTORISE;GRITCHE;BANVEL 4 S;8400096;BANVEL 4S;AMM n° 007H/05;Lituanie;Selon le produit de référence français;
RAPITSA;2130197;AUTORISE;GRITCHE;SUCCESSOR 600;2090096;ROMIN 600;AMM n° 14469;Italie;Selon le produit de référence français;
SNATCH;2130007;AUTORISE;GRITCHE;ALLEATO 80 WG;2120088;ALLEATO 80 WG;AMM n° 11732;Italie;Selon le produit de référence français;
SNATCH;2130007;AUTORISE;GRITCHE;ALLEATO 80 WG;2120088;JUPITER WG;AMM n° 12924;Italie;Selon le produit de référence français;
SNATCH;2130007;AUTORISE;GRITCHE;ALLEATO 80 WG;2120088;PRODEO 80 WG;AMM n° 14052;Italie;Selon le produit de référence français;
SONAL;2140204;AUTORISE;GRITCHE;ALAR 85 SG;2100066;ALAR 85 GOLD;AMM n° 12770;Italie;Selon le produit de référence français;
TURBOMET;2140251;AUTORISE;GRITCHE;CARYX;2090068;CARYX;AMM n° 0466AR/13;Lituanie;Selon le produit de référence français;
TURBOMET;2140251;AUTORISE;GRITCHE;CARYX;2090068;CARYX 240 SL;AMM n° R-13/2011;Pologne;Selon le produit de référence français;
VIRKA;2140185;AUTORISE;GRITCHE;VIVANDO;2060050;VIVANDO;AMM n° 13698;Italie;Selon le produit de référence français;
ZUMBA;2120167;AUTORISE;GRITCHE;COLLIS;2060085;COLLIS;AMM n° 12866;Italie;Selon le produit de référence français;
KOLANDA;2160707;AUTORISE;GRITCHE;CLERANDA;2110098;CLERANDA;AMM n° 008PC/28.05.2012;Roumanie;Selon le produit de référence français;
UPSILON;2160822;AUTORISE;AGRILEADER;CALLISTO;9900047;CALLISTO;AMM n° 9308 P/B;Belgique;Selon le produit de référence français;
GAMMA 40;2170064;AUTORISE;AGRILEADER;PULSAR 40;2090064;PULSAR 40;AMM n° 1859/29.09.1998;Roumanie;Selon le produit de référence français;
FOLAPINAZI;2150893;AUTORISE;M. CAZORLA S.L;FOLDER 80 WG;2140181;FOLDER 80 WG;AMM n° 16068;Italie;Selon le produit de référence français;
BALTIK DUO;2170194;AUTORISE;SAGA SAS;PREVICUR ENERGY;2070107;PREVICUR ENERGY;AMM n° 12043;Italie;Selon le produit de référence français;
CAZOPULSA;2140260;AUTORISE;M. CAZORLA S.L;PULSAR 40;2090064;PULSAR 40;AMM n° 23.038;Espagne;Selon le produit de référence français;
CAZOPULSA;2140260;AUTORISE;M. CAZORLA S.L;PULSAR 40;2090064;PULSAR 40;AMM n° 1859/29.09.1998;Roumanie;Selon le produit de référence français;
